frame,time,z_init,z_ref,z_final,anchor_used,anchor_kind,anchor_weight,target_center_z,hand_z,local_delta_z,contact_depth_offset_m,contact_label,frame_mode,human_contact_state,floor_contact_state,support_conf,table_static_start_frame
35,1.416667,3.924438203,3.739634155,3.789763156,1,continuous_keep,1.365273,3.739634155,3.801937723,0.075774568,-0.013471000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
36,1.458333,3.895038913,3.687552047,3.774157935,1,continuous_keep,1.335250,3.687552047,3.798948145,0.084627098,0.026769000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
37,1.500000,3.875165711,3.652243944,3.761908051,1,continuous_keep,1.253262,3.652243944,3.795474768,0.088494824,0.054736000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
38,1.541667,3.860003258,3.682594200,3.753504793,1,continuous_keep,1.156007,3.682594200,3.796731186,0.092429986,0.021707000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
39,1.583333,3.847023047,3.724240093,3.748183054,1,continuous_keep,1.055769,3.724240093,3.796340847,0.095219754,-0.023119000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
40,1.625000,3.838286615,3.731189521,3.745014995,1,continuous_keep,1.050034,3.731189521,3.796161461,0.094886940,-0.029915000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
41,1.666667,3.830017645,3.750410610,3.743379384,1,continuous_keep,0.966364,3.750410610,3.797084522,0.092945912,-0.046272000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
42,1.708333,3.820466500,3.736272954,3.742852759,1,continuous_keep,0.965955,3.736272954,3.795710802,0.091907848,-0.032470000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
43,1.750000,3.807931648,3.753203720,3.743283953,1,continuous_keep,0.944304,3.753203720,3.795833635,0.088364915,-0.045735000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
44,1.791667,3.793101460,3.722475181,3.744595534,1,continuous_keep,0.923821,3.722475181,3.798677063,0.086519882,-0.010318000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
45,1.833333,3.778974799,3.716169614,3.746914701,1,continuous_keep,0.878091,3.716169614,3.800174713,0.084763099,-0.000758000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
46,1.875000,3.768754076,3.751497231,3.750329416,1,continuous_keep,0.802864,3.751497231,3.802742624,0.081699393,-0.030454000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
47,1.916667,3.763231800,3.757244797,3.754848004,1,continuous_keep,0.802864,3.757244797,3.805290794,0.077831998,-0.029786000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
48,1.958333,3.758964285,3.664718578,3.760602345,1,confirmed_update,1.720422,3.664718578,3.805749941,0.076032363,0.064999000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
49,2.000000,3.755654292,3.694821196,3.767873974,1,confirmed_update,1.720422,3.694821196,3.805638599,0.073598403,0.037219000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
50,2.041667,3.753414382,3.766774194,3.776411795,1,confirmed_update,1.720422,3.766774194,3.807564783,0.068294589,-0.027504000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
51,2.083333,3.752595947,3.803772931,3.785556969,1,confirmed_update,1.720422,3.803772931,3.808613825,0.060507894,-0.055667000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
52,2.125000,3.753191213,3.825310989,3.794584295,1,confirmed_update,1.720422,3.825310989,3.808813095,0.048368106,-0.064866000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
53,2.166667,3.756877407,3.806011450,3.803052789,1,confirmed_update,2.286489,3.806011450,3.809037781,0.016556330,-0.013530000,left_hand,direct_grasp_anchor,1,0,0.75,167
54,2.208333,3.764224582,3.829705548,3.810860112,1,confirmed_update,2.222430,3.829705548,3.809065294,0.006368747,-0.027009000,left_hand,direct_grasp_anchor,1,0,0.75,167
55,2.250000,3.774827872,3.728585761,3.817997661,1,confirmed_update,2.191182,3.728585761,3.808668995,0.000083234,0.080000000,left_hand,direct_grasp_anchor,1,0,0.75,167
56,2.291667,3.790222920,3.731150028,3.824854160,1,confirmed_update,2.144358,3.731150028,3.808876753,-0.002273275,0.080000000,left_hand,direct_grasp_anchor,1,0,0.75,167
57,2.333333,3.804842616,3.848859552,3.831252951,1,confirmed_update,2.142975,3.848859552,3.810304451,-0.001584101,-0.036971000,left_hand,direct_grasp_anchor,1,0,0.75,167
58,2.375000,3.818127218,3.890545154,3.836341092,1,confirmed_update,2.174556,3.890545154,3.812463331,0.001918177,-0.080000000,left_hand,direct_grasp_anchor,1,0,0.75,167
59,2.416667,3.825813846,3.887119044,3.839409648,1,confirmed_update,2.189337,3.887119044,3.813533878,0.006414834,-0.080000000,left_hand,direct_grasp_anchor,1,0,0.75,167
60,2.458333,3.828469528,3.852397626,3.840316164,1,confirmed_update,2.323647,3.852397626,3.814160776,0.015566150,-0.053803000,left_hand,direct_grasp_anchor,1,0,0.75,167
61,2.500000,3.712189096,3.854928829,3.839493282,1,continuous_keep,1.084369,3.854928829,3.814750719,-0.005211110,-0.034967000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
62,2.541667,3.706415273,3.835414644,3.837509933,1,continuous_keep,1.084369,3.835414644,3.814888191,0.003351547,-0.023878000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
63,2.583333,3.702084015,3.834548276,3.834826806,1,continuous_keep,1.084369,3.834548276,3.815079927,0.006992652,-0.026461000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
64,2.625000,3.694115085,3.834056823,3.831756295,1,continuous_keep,1.084369,3.834056823,3.815576982,0.009753159,-0.028233000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
65,2.666667,3.684318728,3.807923020,3.828556159,1,continuous_keep,1.084369,3.807923020,3.814732599,0.014339579,-0.007530000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
66,2.708333,3.674437538,3.810198067,3.825490772,1,continuous_keep,1.084369,3.810198067,3.812452030,0.019345964,-0.017092000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
67,2.750000,3.663536121,3.810691060,3.822674157,1,continuous_keep,1.084369,3.810691060,3.811294031,0.027333971,-0.026731000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
68,2.791667,3.651996848,3.837216290,3.820111433,1,continuous_keep,1.084369,3.837216290,3.810358572,0.028666282,-0.055524000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
69,2.833333,3.643262147,3.810387790,3.817723928,1,continuous_keep,1.084369,3.810387790,3.809091902,0.032710112,-0.034006000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
70,2.875000,3.635368838,3.815208150,3.815593532,1,continuous_keep,1.084369,3.815208150,3.808325434,0.031341283,-0.038224000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
71,2.916667,3.628687806,3.809853218,3.813758828,1,continuous_keep,1.084369,3.809853218,3.807540798,0.028955580,-0.031268000,left_hand,keep_previous_grasp_anchor,0,0,0.75,167
