frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
142,5.875000,-0.007789,-0.030874,4.043762,0.280381,0.076950,3.953593,-0.258534,0.076704,3.643365,-0.307055,0.552166,4.013558,0.757962,0.604534
143,5.916667,-0.004148,-0.031134,4.045679,0.281743,0.078915,3.958084,-0.230123,0.074966,3.639294,-0.283566,0.562010,4.020273,0.746206,0.620655
144,5.958333,-0.000315,-0.030279,4.044584,0.283275,0.080426,3.959259,-0.202190,0.097828,3.632400,-0.257185,0.543430,4.026987,0.714883,0.597733
145,6.000000,0.002390,-0.029103,4.038141,0.287098,0.079685,3.957976,-0.177220,0.141638,3.617636,-0.231635,0.492906,4.033701,0.667511,0.547230
146,6.041667,0.006876,-0.028628,4.041839,0.292054,0.075710,3.963068,-0.161235,0.192039,3.617822,-0.203108,0.365541,4.040415,0.578939,0.458739
147,6.083333,0.009235,-0.028695,4.050238,0.294174,0.072529,3.971477,-0.152562,0.223221,3.626563,-0.177457,0.212302,4.047129,0.497690,0.421444
148,6.125000,0.011206,-0.027702,4.055977,0.295834,0.071317,3.977757,-0.146989,0.236150,3.631341,-0.157278,0.120000,4.053844,0.462028,0.438299
149,6.166667,0.011344,-0.027948,4.054610,0.297518,0.070763,3.977369,-0.145096,0.233870,3.624026,-0.154929,0.203561,4.051981,0.477400,0.429140
150,6.208333,0.009873,-0.028727,4.049765,0.297254,0.071052,3.975538,-0.145277,0.213751,3.606222,-0.152722,0.309438,4.044280,0.513841,0.448449
151,6.250000,0.006577,-0.029868,4.036809,0.296622,0.073263,3.963055,-0.148157,0.180182,3.580373,-0.153788,0.408255,4.036579,0.566122,0.510072
152,6.291667,0.004669,-0.030534,4.032012,0.297280,0.076288,3.959179,-0.149516,0.134732,3.567027,-0.149488,0.479284,4.028879,0.605694,0.576215
153,6.333333,0.001099,-0.030881,4.030149,0.295852,0.079946,3.957429,-0.150104,0.093831,3.561767,-0.151958,0.533280,4.021178,0.640398,0.635750
154,6.375000,-0.000577,-0.030750,4.032983,0.296008,0.082322,3.960120,-0.147734,0.068458,3.562711,-0.149533,0.558396,4.013477,0.654217,0.665757
155,6.416667,-0.001175,-0.030007,4.036250,0.294594,0.083975,3.963464,-0.141410,0.064717,3.562550,-0.145177,0.563520,4.005776,0.652037,0.667284
156,6.458333,-0.000386,-0.029011,4.040650,0.292998,0.084163,3.970065,-0.131509,0.085199,3.564879,-0.141703,0.548617,3.998075,0.636763,0.634444
157,6.500000,0.001360,-0.027306,4.042885,0.291345,0.083708,3.973402,-0.122138,0.130695,3.569013,-0.141702,0.502913,3.990374,0.602952,0.562560
158,6.541667,0.003744,-0.025212,4.039794,0.289732,0.081928,3.969662,-0.122732,0.189610,3.575138,-0.149528,0.387947,3.982674,0.535506,0.454028
159,6.583333,0.008079,-0.023451,4.045579,0.291848,0.079651,3.973468,-0.134465,0.229633,3.595634,-0.167824,0.245006,3.974973,0.488511,0.381114
160,6.625000,0.011463,-0.020778,4.046877,0.293884,0.078897,3.972520,-0.157620,0.250075,3.613049,-0.187209,0.120000,3.967272,0.482874,0.378509
161,6.666667,0.012619,-0.019980,4.038959,0.295253,0.077964,3.962360,-0.185865,0.252881,3.616449,-0.221069,0.120210,3.959571,0.518055,0.369558
162,6.708333,0.012941,-0.021969,4.034671,0.296301,0.076535,3.956045,-0.217419,0.233565,3.616183,-0.260393,0.280330,3.958862,0.592831,0.348515
163,6.750000,0.015560,-0.022839,4.026727,0.301261,0.078184,3.945790,-0.244617,0.194229,3.606708,-0.288571,0.386381,3.959873,0.665646,0.404450
164,6.791667,0.014818,-0.023009,4.026479,0.303598,0.083056,3.941354,-0.269045,0.140144,3.607273,-0.315987,0.459779,3.960884,0.725388,0.478969
165,6.833333,0.012623,-0.022988,4.027550,0.307306,0.086445,3.940997,-0.287263,0.094936,3.615740,-0.335632,0.514036,3.961895,0.772425,0.545717
166,6.875000,0.008985,-0.023311,4.032716,0.310479,0.089537,3.945023,-0.300660,0.057652,3.625540,-0.351894,0.555465,3.962906,0.810029,0.603538
167,6.916667,0.002498,-0.022353,4.038345,0.308681,0.092115,3.949783,-0.311549,0.037914,3.636734,-0.363789,0.581461,3.963917,0.831790,0.636570
