frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
81,3.333333,0.05328395840549525,-0.11798482566139211,2.649857376999612,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
82,3.375,0.07696799709784148,-0.0830215356293432,2.6648263173010927,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
83,3.416667,0.09997847272942591,-0.034008759356197085,2.686057811653518,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
84,3.458333,0.12851217529334757,0.019311921661713444,2.716908872888195,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
85,3.5,0.17435841114999648,-0.025594055034798224,2.7532419744710155,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
86,3.541667,0.22738921343494142,-0.09756646495823292,2.778539331482018,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
87,3.583333,0.2729981390137337,-0.1558044269506754,2.7858958788129398,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
88,3.625,0.30763475656184003,-0.19585033049007172,2.7750432633986164,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
89,3.666667,0.32980191867017417,-0.2201729493927619,2.750520772398897,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
90,3.708333,0.3159414828689815,-0.23498224778575935,2.721739978672783,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
91,3.75,0.3000169278346467,-0.24480784466371872,2.721312808283312,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
92,3.791667,0.2857169427903725,-0.24595892321242419,2.7235452514934955,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
93,3.833333,0.27413986554064407,-0.2396009914651434,2.72953605084403,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
94,3.875,0.2652832682019715,-0.22399854640748282,2.7387995397363927,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
95,3.916667,0.25608801283322685,-0.2003185064034042,2.751082487108505,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
96,3.958333,0.24790692902958678,-0.16738977670560054,2.7658685629051956,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
97,4.0,0.24035272235085597,-0.1259570150834695,2.7806201844353287,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
98,4.041667,0.23308542144737765,-0.08159093129652169,2.7941770363751766,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
99,4.083333,0.22545566991160876,-0.09321442758164769,2.8072391836419768,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
100,4.125,0.21690719896672134,-0.1161398874197256,2.8199219876841686,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
101,4.166667,0.207375917727754,-0.1324183371802118,2.829960703400648,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
102,4.208333,0.19956674898117288,-0.13734114637530992,2.838052290810886,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
103,4.25,0.19054252359501006,-0.13244277727365558,2.8460420768787,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
104,4.291667,0.18209880580744334,-0.11488015380288283,2.8567123814960302,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
105,4.333333,0.1737188640361298,-0.08385747429305988,2.8724044532598385,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
106,4.375,0.16628107627125946,-0.03585278326974872,2.8944585801322287,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
107,4.416667,0.15733908040521022,0.031562020292406054,2.9221159802582517,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
108,4.458333,0.14961330679931972,0.1184120489767411,2.947495447366565,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
109,4.5,0.13848077097060896,0.2251345095849466,2.9619488047089875,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
