frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
80,3.291667,-0.399376,-0.672878,3.733607,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,482.906,95.325,,482.906,95.325,,115.970,115.970,482.906,95.325,482.906,95.325,115.970,115.970,0.000309,0.461036,0.461036,0.000000,3.542475,0.191132,0.050096,1,1
81,3.333333,-0.398834,-0.672897,3.734515,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,483.158,95.382,,483.158,95.382,,116.091,116.091,483.158,95.382,483.158,95.382,116.091,116.091,0.000182,0.465124,0.465124,0.000000,3.535185,0.199330,0.054641,1,1
82,3.375000,-0.398312,-0.672168,3.736161,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,483.432,95.785,,483.432,95.785,,116.824,116.824,483.432,95.785,483.432,95.785,116.824,116.824,0.000019,0.580023,0.468487,0.000000,3.537965,0.198196,0.066573,1,1
83,3.416667,-0.397381,-0.671078,3.741115,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.005,96.563,,484.005,96.563,,118.312,118.312,484.005,96.563,484.005,96.563,118.312,118.312,0.000034,0.755145,0.477520,0.000000,3.560887,0.180228,0.071868,1,1
84,3.458333,-0.396982,-0.668065,3.747063,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.409,98.162,,484.409,98.162,,120.409,120.409,484.409,98.162,484.409,98.162,120.409,120.409,0.000050,0.498791,0.498446,0.000000,3.536503,0.210560,0.024655,1,1
85,3.500000,-0.394549,-0.663899,3.749817,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,485.476,99.986,,485.476,99.986,,123.143,123.143,485.476,99.986,485.476,99.986,123.143,123.143,0.000056,0.511987,0.511987,0.000000,3.534982,0.214835,0.047681,1,1
86,3.541667,-0.393656,-0.659132,3.755128,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,486.044,102.218,,486.044,102.218,,126.305,126.305,486.044,102.218,486.044,102.218,126.305,126.305,0.000028,0.606964,0.505026,0.000000,3.515471,0.239657,0.020466,1,1
87,3.583333,-0.391298,-0.652294,3.755861,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,486.996,104.942,,486.996,104.942,,129.777,129.777,486.996,104.942,486.996,104.942,129.777,129.777,0.000022,0.495809,0.495809,0.000000,3.511635,0.244226,0.038520,1,1
88,3.625000,-0.387343,-0.643718,3.753620,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,488.452,108.145,,488.452,108.145,,133.606,133.606,488.452,108.145,488.452,108.145,133.606,133.606,0.000027,0.456696,0.456696,0.000000,3.513673,0.239947,0.032684,1,1
89,3.666667,-0.384244,-0.634483,3.748568,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,489.462,111.424,,489.462,111.424,,137.015,137.015,489.462,111.424,489.462,111.424,137.015,137.015,0.000023,0.451892,0.451892,0.000000,3.585762,0.162806,0.109507,1,1
90,3.708333,-0.381225,-0.626561,3.746774,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,490.573,114.410,,490.573,114.410,,139.883,139.883,490.573,114.410,490.573,114.410,139.883,139.883,0.000010,0.443989,0.443989,0.000000,3.636075,0.110699,0.130909,0,1
91,3.750000,-0.377819,-0.619163,3.749453,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,492.014,117.483,,492.014,117.483,,142.683,142.683,492.014,117.483,492.014,117.483,142.683,142.683,0.000005,0.996490,0.445388,0.000000,3.614029,0.135424,0.038661,0,1
92,3.791667,-0.372886,-0.610515,3.749684,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,493.955,120.885,,493.955,120.885,,146.302,146.302,493.955,120.885,493.955,120.885,146.302,146.302,0.000037,1.000000,0.443510,0.000000,3.587574,0.162110,0.027736,0,1
