frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
150,6.208333,2.252197,3.722590,0.883736,1.729489,5990,0.558087,0.7503,0.0070,mask
151,6.250000,2.208310,3.685758,0.859728,1.776999,5758,0.617938,0.7110,0.0257,mask
152,6.291667,2.229482,3.687024,0.831748,1.832657,6026,0.512726,0.6529,0.0000,mask
153,6.333333,2.305398,3.774014,0.806960,1.881535,6032,0.429326,0.6056,0.1065,mask
154,6.375000,2.347875,3.770021,0.793806,1.906263,5996,0.413913,0.5618,0.0000,mask
155,6.416667,2.380334,3.794754,0.798363,1.894382,6328,0.426151,0.5872,0.0000,mask
156,6.458333,2.352311,3.778252,0.819066,1.849678,6207,0.453546,0.6177,0.0055,mask
157,6.500000,2.274054,3.749921,0.845406,1.794910,6311,0.474391,0.6765,0.0936,mask
158,6.541667,2.273863,3.732638,0.864136,1.757905,5975,0.616370,0.7397,0.0291,mask
159,6.583333,2.345748,3.788660,0.868480,1.751423,6790,0.615104,0.7959,0.0000,mask
160,6.625000,2.320151,3.765624,0.861814,1.766085,6371,0.668235,0.7423,0.0000,mask
161,6.666667,2.299367,3.752062,0.852739,1.782530,5903,0.468482,0.5339,0.0301,mask
162,6.708333,2.280925,3.760597,0.847410,1.788627,6100,0.534610,0.6867,0.1039,mask
163,6.750000,2.232961,3.692260,0.845141,1.788464,6423,0.556411,0.6685,0.0416,mask
164,6.791667,2.233166,3.685366,0.838101,1.802353,6186,0.558676,0.6927,0.0316,mask
165,6.833333,2.318038,3.751269,0.816615,1.854184,6170,0.541537,0.6981,0.0145,mask
166,6.875000,2.388595,3.808366,0.780949,1.942995,6252,0.538889,0.6404,0.0000,mask
167,6.916667,2.596566,3.968941,0.748566,2.025241,6274,0.392099,0.5114,0.0000,mask
168,6.958333,2.619503,3.988272,0.742178,2.044135,6336,0.337067,0.4459,0.0000,mask
169,7.000000,2.521627,3.919777,0.766104,1.987949,6378,0.342784,0.4878,0.0000,mask
170,7.041667,2.380756,3.810546,0.798863,1.908649,6369,0.471357,0.6242,0.0000,mask
171,7.083333,2.183440,3.696241,0.814039,1.871053,6341,0.478264,0.6898,0.1430,mask
172,7.125000,2.292432,3.737226,0.807718,1.885587,6030,0.572122,0.6467,0.0000,mask
173,7.166667,2.283747,3.730821,0.801836,1.899629,5990,0.421359,0.5057,0.0000,mask
174,7.208333,2.307575,3.748221,0.819778,1.856523,5670,0.504224,0.5756,0.0000,mask
175,7.250000,2.280467,3.720464,0.862357,1.753889,6071,0.602747,0.7044,0.0000,mask
176,7.291667,2.308136,3.738940,0.910407,1.637597,6433,0.665203,0.7087,0.0000,mask
177,7.333333,2.198448,3.659175,0.945157,1.552687,6558,0.495430,0.6233,0.0737,mask
178,7.375000,2.333460,3.765211,0.958788,1.517881,6229,0.563621,0.6999,0.0325,mask
179,7.416667,2.337077,3.756579,0.949549,1.537409,6274,0.479839,0.6897,0.0000,mask
180,7.458333,2.352979,3.770463,0.918456,1.609355,6164,0.518006,0.7069,0.0000,mask
181,7.500000,2.312468,3.751329,0.874283,1.714036,6177,0.479511,0.7011,0.0423,mask
182,7.541667,2.324660,3.787129,0.834787,1.810409,6350,0.418842,0.6462,0.0782,mask
183,7.583333,2.233452,3.682798,0.816133,1.860004,6222,0.471271,0.6450,0.0000,mask
184,7.625000,2.244067,3.697261,0.820938,1.855021,6604,0.583666,0.7238,0.0000,mask
185,7.666667,2.264811,3.724817,0.838667,1.818419,7123,0.650054,0.7472,0.0167,mask
186,7.708333,2.419665,3.851762,0.855581,1.781541,6246,0.633326,0.7389,0.0000,mask
187,7.750000,2.425707,3.858216,0.861580,1.768274,5810,0.665106,0.7665,0.0000,mask
188,7.791667,2.324601,3.770921,0.851773,1.790887,6077,0.675115,0.7389,0.0000,mask
189,7.833333,2.233963,3.707944,0.828865,1.843637,6058,0.548231,0.6579,0.0368,mask
190,7.875000,2.165350,3.641183,0.804627,1.898883,5812,0.611377,0.6930,0.0000,mask
191,7.916667,2.264780,3.719644,0.793130,1.923378,6418,0.584929,0.6572,0.0000,mask
192,7.958333,2.278316,3.726883,0.799428,1.905533,6293,0.631128,0.7031,0.0000,mask
