frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
131,0,0,0,0,0.114305,0.060984,0.073787,0.000438,1,0.049748,0.000000,0.495050,0,0,0.000000
132,0,0,0,0,0.053793,0.028224,0.073933,0.067187,1,0.041183,0.000000,0.444276,0,0,0.000000
133,0,0,0,0,0.026110,0.026023,0.008260,0.000882,1,0.040202,0.000000,0.444276,0,0,0.000000
134,0,0,0,0,0.008528,0.006441,0.007519,0.007259,1,0.036498,0.000000,0.507744,0,0,0.000000
135,0,0,0,0,0.012694,0.011958,0.005080,0.000599,1,0.029854,0.000000,0.444276,0,0,0.000000
136,0,0,0,0,0.016480,0.019074,0.005207,0.030097,1,0.022882,0.000000,0.444276,0,0,0.000000
137,0,0,0,0,0.031970,0.030601,0.032557,0.003700,1,0.020297,0.000000,0.444276,0,0,0.000000
138,0,0,0,0,0.062202,0.063104,0.036140,0.000375,1,0.030003,0.000000,0.444276,0,0,0.000000
139,0,0,0,0,0.007309,0.049972,0.036432,0.013847,1,0.028361,0.000000,0.507744,0,0,0.000000
140,0,0,0,0,0.049509,0.024677,0.050208,0.002350,1,0.032480,0.000000,0.444276,0,0,0.000000
141,0,0,0,0,0.073956,0.014348,0.052533,0.011155,1,0.032910,0.000000,0.444276,0,0,0.000000
142,0,0,0,0,0.088051,0.084865,0.063591,0.000263,1,0.047661,0.000000,0.444276,0,0,0.000000
143,0,0,0,0,0.008150,0.083051,0.063624,0.000257,1,0.054150,0.000000,0.507744,0,0,0.000000
144,0,0,0,0,0.086282,0.007417,0.063552,0.000209,1,0.051255,0.000000,0.444276,0,0,0.000000
145,0,0,0,0,0.093326,0.039123,0.063413,0.021699,1,0.060231,0.000000,0.558518,0,0,0.000000
146,0,0,0,1,0.054439,0.139987,0.041729,0.097357,1,0.071111,0.000000,0.558518,0,0,0.000000
147,0,0,0,0,0.085684,0.022085,0.055724,0.012969,1,0.057525,0.000000,0.558518,0,0,0.000000
148,0,0,0,1,0.107537,0.104791,0.068681,0.000217,1,0.063855,0.000000,0.444276,0,0,0.000000
149,0,0,0,0,0.005056,0.094133,0.068845,0.000232,1,0.055824,0.000000,0.507744,0,0,0.000000
150,0,0,0,0,0.096847,0.021188,0.068978,0.000179,1,0.043235,0.000000,0.444276,0,0,0.000000
151,0,0,0,0,0.076422,0.015454,0.069020,0.000557,1,0.040012,0.000000,0.444276,0,0,0.000000
152,0,0,0,0,0.062279,0.008250,0.068856,0.033143,1,0.037160,0.000000,0.444276,0,0,0.000000
153,0,0,0,0,0.054175,0.052092,0.035750,0.004811,1,0.039721,0.000000,0.444276,0,0,0.000000
154,0,0,0,0,0.004414,0.031328,0.030956,0.008770,1,0.035159,0.000000,0.507744,0,0,0.000000
155,0,0,0,0,0.033736,0.011864,0.022226,0.005121,1,0.029914,0.000000,0.444276,0,0,0.000000
156,0,0,0,0,0.022266,0.017660,0.017160,0.019419,1,0.027468,0.000000,0.444276,0,0,0.000000
157,0,0,0,0,0.006100,0.004482,0.003491,0.000405,1,0.027439,0.000000,0.507744,0,0,0.000000
158,0,0,0,0,0.004101,0.016802,0.003836,0.000563,1,0.027487,0.000000,0.507744,0,0,0.000000
159,0,0,0,0,0.017869,0.016282,0.004333,0.034622,1,0.025455,0.000000,0.444276,0,0,0.000000
160,0,0,0,0,0.033821,0.037368,0.038098,0.025022,1,0.029901,0.000000,0.444276,0,0,0.000000
161,0,0,0,0,0.069413,0.005308,0.063108,0.002316,1,0.029401,0.000000,0.444276,0,0,0.000000
162,0,0,0,0,0.064222,0.011416,0.063335,0.008568,1,0.032187,0.000000,0.444276,0,0,0.000000
163,0,0,0,0,0.070778,0.064267,0.055527,0.004037,1,0.047742,0.000000,0.444276,0,0,0.000000
164,0,0,0,0,0.008304,0.087140,0.051618,0.040086,1,0.054279,0.000000,0.507744,0,0,0.000000
165,0,0,0,1,0.094016,0.224645,0.014607,0.049217,1,0.080979,0.000000,0.444276,0,0,0.000000
166,0,0,0,0,0.130746,0.097849,0.039999,0.002831,1,0.069805,0.000000,0.545825,0,0,0.000000
167,0,0,0,1,0.048009,0.154811,0.040924,0.096107,1,0.055148,0.000000,0.444276,0,0,0.000000
168,0,0,0,1,0.123704,0.128258,0.060168,0.054358,1,0.037757,0.000000,0.495050,0,0,0.000000
169,0,0,0,0,0.029336,0.066647,0.019193,0.053371,1,0.031281,0.000000,0.444276,0,0,0.000000
170,0,0,0,0,0.079582,0.008508,0.053990,0.000163,1,0.007435,0.000000,0.444276,0,0,0.000000
171,0,0,0,0,0.073139,0.017731,0.054151,0.000207,1,0.024940,0.000000,0.444276,0,0,0.000000
172,0,0,0,0,0.058213,0.043509,0.053944,0.031368,1,0.037060,0.000000,0.444276,0,0,0.000000
173,0,0,0,0,0.028911,0.019892,0.026887,0.011683,1,0.042314,0.000000,0.444276,0,0,0.000000
174,0,0,0,0,0.038949,0.010805,0.020084,0.000459,1,0.059823,0.000000,0.444276,0,0,0.000000
175,0,0,0,0,0.032358,0.022739,0.019657,0.000421,1,0.072198,0.000000,0.444276,0,0,0.000000
176,0,0,0,0,0.034269,0.016260,0.019260,0.000294,1,0.086784,0.000000,0.444276,0,0,0.000000
177,0,0,0,1,0.028068,0.134684,0.019076,0.063293,1,0.095525,0.000000,0.558518,0,0,0.000000
178,0,0,0,1,0.128207,0.122214,0.072574,0.000326,1,0.086202,0.000000,0.495050,0,0,0.000000
179,0,0,0,1,0.007688,0.117989,0.072808,0.028539,1,0.065965,0.000000,0.507744,0,0,0.000000
180,0,0,0,0,0.124291,0.012652,0.100714,0.000368,1,0.041100,0.000000,0.495050,0,0,0.000000
181,0,0,0,0,0.113745,0.032268,0.100910,0.013309,1,0.021886,0.000000,0.495050,0,0,0.000000
182,0,0,0,0,0.086419,0.014177,0.099437,0.052789,1,0.020720,0.000000,0.444276,0,0,0.000000
183,0,0,0,0,0.072525,0.066930,0.046653,0.000297,1,0.030735,0.000000,0.444276,0,0,0.000000
