frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,visible_fraction,occlusion_state,vlm_visibility,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
31,1.250000,579.016,96.867,579.016,96.867,579.016,96.867,vlm_single_identity_visible_mask,center,579.016,125.914,125.914,29.047,29.047,cotracker_bottom,,,stage2_contact_policy,3.591494,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.591494,3.591494,3.591494,3.591494,1.000000,0.000000,,,35.504
32,1.291667,580.617,132.094,580.617,132.094,580.617,132.094,vlm_single_identity_visible_mask,center,580.617,165.197,165.197,33.103,33.103,cotracker_bottom,,,stage2_contact_policy,3.054919,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.952477,3.054919,3.054919,3.054919,1.000000,0.000000,,,34.346
33,1.333333,584.784,153.835,584.784,153.835,584.784,153.835,vlm_single_identity_visible_mask,center,584.784,179.883,179.883,26.048,26.048,cotracker_bottom,,,stage2_contact_policy,2.952477,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.054919,2.952477,2.952477,2.952477,1.000000,0.000000,,,33.525
34,1.375000,582.691,136.053,582.691,136.053,582.691,136.053,vlm_single_identity_visible_mask,center,582.691,162.878,162.878,26.825,26.825,cotracker_bottom,,,stage2_contact_policy,2.939680,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.939680,2.939680,2.939680,2.939680,1.000000,0.000000,,,33.644
35,1.416667,577.306,106.721,577.306,106.721,577.306,106.721,vlm_single_identity_visible_mask,center,577.306,136.304,136.304,29.583,29.583,cotracker_bottom,,,stage2_contact_policy,2.939680,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.885788,2.939680,2.939680,2.939680,1.000000,0.000000,,,34.664
36,1.458333,571.276,75.854,571.276,75.854,571.276,75.854,vlm_single_identity_visible_mask,center,571.276,106.970,106.970,31.116,31.116,cotracker_bottom,,,stage2_contact_policy,2.939680,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.753232,2.939680,2.939680,2.939680,1.000000,0.000000,,,35.812
37,1.500000,567.110,44.735,567.110,44.735,567.110,44.735,vlm_single_identity_visible_mask,center,567.110,76.607,76.607,31.872,31.872,cotracker_bottom,,,stage2_contact_policy,2.939680,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,2.848692,2.939680,2.939680,2.939680,1.000000,0.000000,,,35.234
38,1.541667,563.920,25.292,563.920,25.292,563.920,25.292,vlm_single_identity_visible_mask,center,563.920,51.898,51.898,26.606,26.606,cotracker_bottom,,,stage2_contact_policy,3.132323,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.238910,3.132323,3.132323,3.132323,1.000000,0.000000,,,32.645
39,1.583333,562.797,15.103,562.797,15.103,562.797,15.103,vlm_single_identity_visible_mask,center,562.797,34.225,34.225,19.122,19.122,cotracker_bottom,,,stage2_contact_policy,3.238910,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.132323,3.238910,3.238910,3.238910,1.000000,0.000000,,,25.657
40,1.625000,562.356,8.990,562.356,8.990,562.356,8.990,vlm_single_identity_visible_mask,center,562.356,21.082,21.082,12.092,12.092,cotracker_bottom,,,stage2_contact_policy,3.895924,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.924377,3.895924,3.895924,3.895924,1.000000,0.000000,,,18.151
