frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
34,1.375000,mug,694.266,269.183,mug_body_mask,1,694.266,269.183,cotracker_center_fallback,1,695.353,268.208,4455.0,662.000,230.000,729.000,309.000,67.000,79.000,43.818,89.147,69.620,0.848101,0.821481,1,695.300,268.270,665.000,230.000,726.000,308.000,62.000,79.000,unknown,3.000,2.000,0.500000,0.821481,0.821481,1.000000,660.545,269.101,1.000000,721.999,275.764,0.000000,694.456,231.037,0.000000,691.709,309.005,1.000000
35,1.416667,mug,698.952,261.132,mug_body_mask,1,698.952,261.132,cotracker_center_fallback,1,699.597,260.444,4668.5,662.000,222.000,736.000,302.000,74.000,80.000,44.732,91.129,72.190,0.925000,0.801123,1,699.646,260.508,668.000,222.000,731.000,301.000,64.000,80.000,unknown,6.000,4.000,0.500000,0.801123,0.801123,1.000000,664.836,261.323,1.000000,723.630,272.999,0.000000,698.970,223.988,0.000000,694.070,302.778,1.000000
36,1.458333,mug,704.030,253.482,mug_body_mask,1,704.030,253.482,cotracker_center_fallback,1,703.930,253.888,4668.0,665.000,215.000,740.000,295.000,75.000,80.000,43.796,89.484,71.957,0.937500,0.789909,1,704.285,253.786,673.000,215.000,736.000,294.000,64.000,80.000,left,8.000,3.000,0.500000,0.789909,0.789909,1.000000,669.133,253.783,1.000000,725.252,269.662,0.000000,703.733,217.250,0.000000,696.979,296.486,1.000000
37,1.500000,mug,708.033,248.170,mug_body_mask,1,708.033,248.170,cotracker_center_fallback,1,708.500,248.153,4562.5,670.000,209.000,744.000,289.000,74.000,80.000,43.738,87.279,71.553,0.925000,0.791772,1,708.768,248.083,678.000,209.000,740.000,288.000,63.000,80.000,left,8.000,3.000,0.500000,0.791772,0.791772,1.000000,672.690,248.476,1.000000,727.209,266.866,0.000000,706.998,212.418,0.000000,699.442,291.804,1.000000
38,1.541667,mug,711.149,243.025,mug_body_mask,1,711.149,243.025,cotracker_center_fallback,1,712.305,243.016,4573.5,674.000,204.000,748.000,285.000,74.000,81.000,43.352,89.103,69.587,0.913580,0.790826,1,712.552,242.945,682.000,204.000,744.000,284.000,63.000,81.000,left,8.000,3.000,0.500000,0.790826,0.790826,1.000000,675.503,243.387,1.000000,728.589,263.768,0.000000,710.237,207.409,0.000000,701.220,287.218,1.000000
39,1.583333,mug,713.996,238.874,mug_body_mask,1,713.996,238.874,cotracker_center_fallback,1,715.169,238.940,4565.5,675.000,200.000,750.000,281.000,75.000,81.000,43.497,86.724,71.692,0.925926,0.769253,1,715.602,238.779,685.000,200.000,747.000,280.000,63.000,81.000,left,10.000,2.000,0.500000,0.769253,0.769253,1.000000,678.079,239.320,1.000000,730.071,261.396,0.000000,713.206,203.681,0.000000,703.020,283.346,1.000000
40,1.625000,mug,716.524,234.767,mug_body_mask,1,716.524,234.767,cotracker_center_fallback,1,717.594,235.481,4504.0,677.000,196.000,752.000,277.000,75.000,81.000,43.422,88.515,68.855,0.925926,0.764080,1,717.769,235.376,687.000,196.000,749.000,276.000,63.000,81.000,left,10.000,2.000,0.500000,0.764080,0.764080,1.000000,680.365,235.411,1.000000,731.209,258.957,0.000000,716.563,199.323,0.000000,704.461,279.787,1.000000
41,1.666667,mug,718.874,231.878,mug_body_mask,1,718.874,231.878,cotracker_center_fallback,1,718.870,232.294,4622.5,680.000,192.000,753.000,275.000,73.000,83.000,43.664,90.242,70.092,0.879518,0.794409,1,719.428,232.054,689.000,192.000,750.000,274.000,62.000,83.000,left,9.000,2.000,0.500000,0.794409,0.794409,1.000000,682.596,232.502,1.000000,732.502,257.210,0.000000,719.377,196.750,0.000000,705.453,277.627,1.000000
42,1.708333,mug,721.192,228.179,mug_body_mask,1,721.192,228.179,cotracker_center_fallback,1,720.868,228.980,4646.0,681.000,188.000,755.000,272.000,74.000,84.000,43.947,89.296,69.457,0.880952,0.783393,1,721.481,228.724,691.000,188.000,752.000,271.000,62.000,84.000,left,10.000,2.000,0.500000,0.783393,0.783393,1.000000,684.759,228.954,1.000000,733.292,255.329,0.000000,722.405,193.520,0.000000,706.889,274.288,1.000000
43,1.750000,mug,722.664,225.611,mug_body_mask,1,722.664,225.611,cotracker_center_fallback,1,722.968,225.979,4663.0,683.000,184.000,758.000,269.000,75.000,85.000,43.978,90.098,69.294,0.882353,0.778747,1,723.357,225.846,693.000,184.000,754.000,268.000,62.000,85.000,left,10.000,3.000,0.500000,0.778747,0.778747,1.000000,686.128,226.402,1.000000,733.988,253.791,0.000000,724.201,190.861,0.000000,707.553,272.007,1.000000
44,1.791667,mug,724.180,222.407,mug_body_mask,1,724.180,222.407,cotracker_center_fallback,1,725.846,223.479,4638.0,687.000,182.000,763.000,267.000,76.000,85.000,43.788,89.944,68.772,0.894118,0.785991,1,725.943,223.460,696.000,182.000,757.000,266.000,62.000,85.000,left,9.000,5.000,0.500000,0.785991,0.785991,1.000000,687.525,223.313,1.000000,734.073,252.613,0.000000,724.959,188.936,0.000000,708.421,269.671,1.000000
45,1.833333,mug,725.287,219.731,mug_body_mask,1,725.287,219.731,cotracker_center_fallback,1,727.377,221.037,4667.0,690.000,180.000,765.000,265.000,75.000,85.000,44.107,90.938,68.349,0.882353,0.802653,1,726.966,221.259,696.000,180.000,758.000,264.000,63.000,85.000,unknown,6.000,6.000,0.500000,0.802653,0.802653,1.000000,688.758,220.908,1.000000,733.930,251.804,0.000000,726.078,186.545,0.000000,708.631,267.676,1.000000
46,1.875000,mug,725.924,217.691,mug_body_mask,1,725.924,217.691,cotracker_center_fallback,1,728.201,218.788,4716.0,691.000,177.000,767.000,263.000,76.000,86.000,44.233,90.903,68.157,0.883721,0.796369,1,728.077,218.887,697.000,177.000,760.000,262.000,64.000,86.000,unknown,6.000,6.000,0.500000,0.796369,0.796369,1.000000,689.428,219.002,1.000000,734.047,251.506,0.000000,727.017,184.712,0.000000,708.641,266.131,1.000000
