frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
34,1.100000,652.708,838.625,652.814,838.502,652.814,838.502,center,center,661.500,869.095,869.000,30.470,30.593,bottom_percentile_95,618.357,845.120,human_nearest_mesh_topk,5.007339,5.150438,0.143099,1.000000,0.835085,0.343660,1.000000,1.000000,0.900734,0.448938,0.341000,5.000000,8.000000,left_foot,0.343660,575.096,851.331,6.675766,boundary_015,4.991482,4.993576,5.010228,5.007339,1.000000,0.095314,0.000000,0.000000
35,1.133333,652.864,838.748,652.858,838.641,652.858,838.641,center,center,661.500,869.080,869.000,30.332,30.439,bottom_percentile_95,618.355,845.082,human_nearest_mesh_topk,5.013588,5.146810,0.133222,1.000000,0.812272,0.346073,1.000000,1.000000,0.906352,0.425329,0.403000,5.000000,8.000000,left_foot,0.346073,575.136,849.992,6.681797,boundary_015,4.999356,4.999259,5.018701,5.013588,1.000000,0.079619,0.000000,0.000000
36,1.166667,652.936,838.445,652.950,838.471,652.950,838.471,center,center,661.500,868.948,869.000,30.503,30.477,bottom_percentile_95,618.466,845.010,human_nearest_mesh_topk,5.025596,5.117743,0.092147,1.000000,0.959757,0.357372,0.957070,0.957070,0.979314,0.118727,0.100000,5.000000,8.000000,left_foot,0.357372,576.212,848.518,6.680017,boundary_015,5.016339,4.999830,5.035420,5.025596,0.957070,0.052343,0.000000,0.000000
37,1.200000,653.085,838.284,653.042,838.348,653.042,838.348,center,center,663.500,868.979,869.000,30.695,30.631,bottom_percentile_95,619.210,845.297,human_nearest_mesh_topk,5.031356,5.073135,0.041779,1.000000,0.989560,0.371065,0.916301,0.916301,0.993051,0.061000,0.061000,5.000000,8.000000,left_foot,0.371065,578.488,847.363,6.676761,boundary_019,5.013813,4.990856,5.036069,5.031356,0.916301,0.021314,0.000000,0.000000
38,1.233333,653.152,838.345,653.232,838.266,653.232,838.266,center,center,663.500,868.956,869.000,30.611,30.690,bottom_percentile_95,618.979,842.291,human_nearest_mesh_topk,5.034689,5.133232,0.098543,1.000000,0.989589,0.379857,0.902181,0.902181,0.993051,0.061000,0.000000,5.000000,8.000000,left_foot,0.379857,579.412,847.170,6.669746,boundary_019,5.015272,4.984491,5.037417,5.034689,0.902181,0.043524,0.000000,0.000000
39,1.266667,653.814,838.171,653.402,838.207,653.402,838.207,center,center,663.000,868.892,869.000,30.721,30.684,bottom_percentile_95,618.716,844.969,human_nearest_mesh_topk,5.011516,5.039145,0.027629,1.000000,0.908331,0.417524,1.000000,1.000000,0.925368,0.345419,0.167000,5.000000,8.000000,left_foot,0.417524,583.065,847.288,6.659429,boundary_016,4.969008,4.973414,4.992557,5.011516,1.000000,0.108400,0.000000,0.000000
40,1.300000,653.481,838.188,653.504,838.182,653.504,838.182,center,center,662.500,868.833,868.850,30.645,30.651,bottom_percentile_95,617.823,843.847,human_nearest_mesh_topk,4.980948,4.998522,0.017574,0.862204,0.999927,0.480650,0.983545,0.862204,1.000000,0.000000,0.026000,5.000000,8.000000,left_foot,0.480650,586.866,848.159,6.648218,boundary_016,4.930724,4.957736,4.955937,4.980948,0.983545,0.016571,0.000000,0.000000
41,1.333333,653.469,838.188,653.484,838.187,653.484,838.187,center,center,662.000,868.862,868.000,30.674,30.676,bottom_percentile_95,619.821,844.801,human_nearest_mesh_topk,4.975830,4.996917,0.021087,0.869463,0.411583,0.495800,0.984100,0.869463,0.988803,0.078854,0.876000,5.000000,8.000000,left_foot,0.495800,590.660,849.329,6.635000,boundary_019,4.946927,4.942424,4.971643,4.975830,0.984100,0.862248,0.000000,0.000000
42,1.366667,653.546,838.162,653.567,838.153,653.567,838.153,center,center,663.500,868.908,868.850,30.746,30.755,bottom_percentile_95,618.863,847.143,human_nearest_mesh_topk,4.958657,4.973925,0.015268,0.869918,0.970383,0.556197,0.995752,0.869918,0.969907,0.158256,0.071000,5.000000,8.000000,left_foot,0.556197,594.960,850.450,6.634801,boundary_016,4.921814,4.923183,4.944606,4.958657,0.995752,0.058076,0.000000,0.000000
43,1.400000,653.704,838.100,653.674,838.109,653.674,838.109,center,center,664.000,868.934,869.000,30.834,30.825,bottom_percentile_95,619.336,849.095,human_nearest_mesh_topk,4.943433,4.936835,-0.006599,0.870205,0.934398,0.587271,0.989343,0.870205,0.992813,0.062000,0.141000,5.000000,8.000000,left_foot,0.587271,597.751,852.665,6.633226,boundary_022,4.906600,4.918103,4.930978,4.943433,0.989343,0.065657,0.000000,0.000000
44,1.433333,653.766,838.099,653.749,838.109,653.749,838.109,center,center,664.000,868.982,869.000,30.883,30.873,bottom_percentile_95,619.348,849.146,human_nearest_mesh_topk,4.936028,4.935971,-0.000058,0.870923,0.990572,0.544997,1.000000,0.870923,0.991894,0.065863,0.057000,5.000000,8.000000,left_foot,0.544997,594.723,854.282,6.646417,boundary_022,4.906625,4.907543,4.929970,4.936028,1.000000,0.018248,0.000000,0.000000
45,1.466667,653.733,838.241,653.746,838.143,653.746,838.143,center,center,664.000,869.025,869.000,30.784,30.882,bottom_percentile_95,619.244,849.160,human_nearest_mesh_topk,4.918322,4.919015,0.000693,0.875515,0.972033,0.594347,0.954439,0.875515,0.984481,0.097015,0.096000,5.000000,8.000000,left_foot,0.594347,598.319,856.332,6.645915,boundary_022,4.880585,4.879600,4.903835,4.918322,0.954439,0.024781,0.000000,0.000000
