frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,lowest_visible_x,lowest_visible_y,lowest_visible_x1,lowest_visible_x2,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_observed_side,handle_visible,handle_conf,handle_center_x,handle_center_y,handle_bbox_x1,handle_bbox_y1,handle_bbox_x2,handle_bbox_y2,handle_area_px,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
32,1.291667,basketball,522.738,445.650,cotracker_center_fallback,1,522.738,445.650,cotracker_center_fallback,1,528.153,440.697,6611.0,482.000,393.000,573.000,489.000,91.000,96.000,529.000,488.000,525.000,533.000,49.416,95.481,89.199,0.947917,0.845707,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.845707,0.845707,0.000000,487.717,436.266,0.000000,562.576,438.141,0.000000,523.632,398.551,0.000000,527.207,480.287,0.000000
33,1.333333,basketball,531.500,474.500,cotracker_box_center,1,531.500,474.500,cotracker_box_center,1,531.938,474.368,6529.0,487.000,430.000,577.000,520.000,90.000,90.000,531.500,519.000,518.000,545.000,50.384,95.833,89.851,1.000000,0.843031,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,1.000000,0.843031,1.000000,1.000000,487.000,474.335,1.000000,576.000,474.335,1.000000,531.951,430.000,1.000000,531.951,519.000,1.000000
34,1.375000,basketball,527.866,532.374,cotracker_center_fallback,1,527.866,532.374,cotracker_center_fallback,1,535.454,532.726,6040.0,494.000,488.000,578.000,580.000,84.000,92.000,533.000,579.000,527.000,539.000,46.859,92.035,84.201,0.913043,0.877474,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.877474,0.877474,1.000000,495.666,519.018,0.000000,573.983,527.706,0.000000,534.374,465.820,1.000000,533.150,571.034,0.000000
35,1.416667,basketball,532.221,595.727,cotracker_center_fallback,1,532.221,595.727,cotracker_center_fallback,1,539.197,591.274,5527.0,495.000,545.000,583.000,632.000,88.000,87.000,539.000,631.000,530.000,548.000,46.079,85.727,83.265,1.011494,0.820548,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.820548,0.820548,0.000000,502.423,578.062,0.000000,574.119,584.985,0.000000,535.452,477.901,0.000000,537.550,628.704,0.000000
36,1.458333,basketball,533.267,619.694,cotracker_center_fallback,1,533.267,619.694,cotracker_center_fallback,1,538.756,616.220,5820.5,495.000,574.000,583.000,660.000,88.000,86.000,536.500,659.000,532.000,541.000,45.488,88.226,84.752,1.023256,0.872584,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.872584,0.872584,0.000000,502.795,599.333,0.000000,574.441,606.484,0.000000,535.824,484.398,0.000000,536.783,652.459,0.000000
37,1.500000,basketball,526.743,573.378,cotracker_center_fallback,1,526.743,573.378,cotracker_center_fallback,1,533.525,570.506,5669.5,490.000,528.000,578.000,613.000,88.000,85.000,536.500,612.000,532.000,541.000,44.797,88.031,82.082,1.035294,0.878145,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.878145,0.878145,0.000000,497.586,551.732,0.000000,571.281,559.102,0.000000,532.255,483.384,0.000000,532.168,605.801,0.000000
38,1.541667,basketball,522.439,531.462,cotracker_center_fallback,1,522.439,531.462,cotracker_center_fallback,1,529.549,529.916,6283.5,485.000,484.000,572.000,579.000,87.000,95.000,536.000,578.000,532.000,540.000,48.341,92.654,87.296,0.915789,0.872475,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.872475,0.872475,0.000000,492.558,516.884,0.000000,569.568,521.259,0.000000,526.926,470.721,0.000000,530.084,569.000,0.000000
39,1.583333,basketball,521.798,495.812,cotracker_center_fallback,1,521.798,495.812,cotracker_center_fallback,1,524.710,494.105,6192.5,481.000,446.000,569.000,539.000,88.000,93.000,525.000,538.000,518.000,532.000,47.358,91.266,86.841,0.946237,0.871387,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.871387,0.871387,0.000000,488.644,487.997,0.000000,571.913,491.061,0.000000,518.935,448.411,0.000000,530.171,535.883,0.000000
40,1.625000,basketball,517.592,468.415,cotracker_center_fallback,1,517.592,468.415,cotracker_center_fallback,1,519.975,467.067,6098.5,477.000,420.000,565.000,513.000,88.000,93.000,519.500,512.000,513.000,526.000,46.615,90.581,86.155,0.946237,0.864929,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.864929,0.864929,0.000000,485.589,465.573,0.000000,568.882,472.755,0.000000,511.763,424.596,0.000000,526.949,507.335,1.000000
41,1.666667,basketball,512.037,447.883,cotracker_center_fallback,1,512.037,447.883,cotracker_center_fallback,1,516.946,446.336,6120.5,471.000,400.000,561.000,492.000,90.000,92.000,518.000,491.000,514.000,522.000,47.267,90.290,86.629,0.978261,0.863237,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.863237,0.863237,0.000000,481.079,448.523,0.000000,563.160,460.908,0.000000,505.173,407.051,0.000000,522.586,486.397,0.000000
42,1.708333,basketball,510.336,434.589,cotracker_center_fallback,1,510.336,434.589,cotracker_center_fallback,1,515.203,432.523,6262.0,470.000,385.000,560.000,478.000,90.000,93.000,516.000,477.000,510.000,522.000,47.230,91.965,86.869,0.967742,0.861372,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.861372,0.861372,0.000000,480.378,436.134,0.000000,559.720,453.040,0.000000,503.635,393.313,0.000000,520.072,471.772,0.000000
