frame,time,tx,ty,tz,radius_m,yaw,pitch,roll,scale,grasp_correction_m,grasp_audio_weight,grasp_active
131,5.416667,0.040417783,0.009107913,3.914491305,0.08,0.034900962,-0.003482955,-0.000407918,1.178204070,0.088783457,0.606531,1
132,5.458333,0.041618410,0.011169499,3.911960278,0.08,0.035076463,-0.007656587,-0.000447913,1.184571633,0.092794833,0.800737,1
133,5.500000,0.042272517,0.012594751,3.911129122,0.08,0.035176988,-0.011469113,-0.000522472,1.182330496,0.095418602,0.945959,1
134,5.541667,0.042335060,0.013303301,3.911698236,0.08,0.035203508,-0.012610405,-0.000557851,1.182211077,0.096201758,1.000000,1
135,5.583333,0.041802398,0.013331079,3.913008585,0.08,0.035160926,-0.010912616,-0.000604822,1.182893349,0.095151031,0.945959,1
136,5.625000,0.040721779,0.012819605,3.915162260,0.08,0.035070111,-0.007349850,-0.000835025,1.182107624,0.092772389,0.800737,1
137,5.666667,0.039284333,0.011942343,3.917728696,0.08,0.034976220,-0.006499548,-0.000678922,1.182836624,0.089924502,0.606531,1
138,5.708333,0.037728051,0.010864496,3.919843705,0.08,0.034902407,-0.008627485,0.000204264,1.187828263,0.087506840,0.411112,1
139,5.750000,0.036267407,0.009741329,3.921082620,0.08,0.034820724,-0.010784879,-0.000131753,1.187524928,0.085991219,0.606531,1
140,5.791667,0.034987792,0.008746847,3.921818349,0.08,0.034706721,-0.012342891,-0.000260237,1.186517503,0.085040809,0.800737,1
141,5.833333,0.033874811,0.008045344,3.922659772,0.08,0.034534560,-0.013304681,-0.000282105,1.186329262,0.084049029,0.945959,1
142,5.875000,0.032851742,0.007733553,3.924146749,0.08,0.034298067,-0.013797447,-0.000290715,1.186123797,0.082452182,1.000000,1
143,5.916667,0.031770578,0.007758783,3.926621844,0.08,0.033997543,-0.013936009,-0.000289540,1.186184875,0.079866802,0.945959,1
144,5.958333,0.030493182,0.007979379,3.930136412,0.08,0.033632320,-0.013755284,-0.000299306,1.186138752,0.076206575,0.800737,1
