frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
32,1.333333,1,-0.200264,-0.281085,3.888530,-0.260975,-0.297390,3.880967,-0.270146,-0.317305,3.834596,-0.338866,-0.338042,3.848384,-0.343355,-0.323173,3.848910,-0.333353,-0.305114,3.856736,-0.313345,-0.283906,3.872219,1,-0.672889,-0.000359,3.733817,-0.670317,0.066750,3.725683,-0.606566,0.105132,3.732655,-0.613515,0.131977,3.744873,-0.624595,0.133971,3.758957,-0.638357,0.128301,3.769721,-0.658867,0.116665,3.771996
33,1.375000,1,-0.204931,-0.298876,3.885779,-0.262399,-0.314085,3.867581,-0.246357,-0.363123,3.832668,-0.327250,-0.359680,3.829807,-0.329497,-0.346468,3.825384,-0.319027,-0.325639,3.828809,-0.301350,-0.300653,3.839739,1,-0.672831,0.000255,3.735402,-0.670088,0.067310,3.725745,-0.605484,0.105317,3.733059,-0.613113,0.132784,3.745004,-0.624583,0.134806,3.759034,-0.638510,0.129014,3.769859,-0.659434,0.117061,3.771972
34,1.416667,1,-0.208196,-0.316818,3.882793,-0.262394,-0.333672,3.855022,-0.221718,-0.395338,3.818304,-0.310004,-0.384432,3.807242,-0.310817,-0.369904,3.798739,-0.301244,-0.346187,3.800181,-0.287833,-0.318396,3.809943,1,-0.672708,0.000583,3.735611,-0.669512,0.067826,3.725906,-0.604539,0.105580,3.733714,-0.612498,0.133155,3.745586,-0.624065,0.135371,3.759470,-0.638017,0.129215,3.770414,-0.659135,0.117277,3.772261
35,1.458333,1,-0.211241,-0.335180,3.878562,-0.262803,-0.356595,3.848556,-0.207885,-0.412841,3.799066,-0.297917,-0.412917,3.794905,-0.299983,-0.396922,3.784014,-0.293542,-0.372267,3.785331,-0.283684,-0.342797,3.795817,1,-0.671242,0.001054,3.734607,-0.668605,0.068363,3.725974,-0.603634,0.105938,3.733963,-0.611536,0.133154,3.746188,-0.622881,0.135686,3.759893,-0.636744,0.129097,3.770936,-0.657929,0.117664,3.772425
36,1.500000,1,-0.214463,-0.350749,3.875204,-0.265044,-0.380125,3.847142,-0.206504,-0.425455,3.785927,-0.294190,-0.442327,3.793501,-0.299460,-0.426445,3.781236,-0.297847,-0.402528,3.782223,-0.290124,-0.371696,3.792991,1,-0.670164,0.001674,3.733800,-0.667855,0.068930,3.726089,-0.603072,0.106453,3.733963,-0.610680,0.133099,3.746800,-0.621547,0.135917,3.760304,-0.635261,0.128988,3.771317,-0.656490,0.118236,3.772518
37,1.541667,1,-0.219170,-0.366393,3.871280,-0.269160,-0.400192,3.845765,-0.213821,-0.442224,3.782381,-0.292882,-0.467224,3.792935,-0.300706,-0.452089,3.779727,-0.303170,-0.429231,3.779599,-0.296939,-0.397228,3.789486,1,-0.670102,0.002403,3.733464,-0.667763,0.069500,3.726552,-0.603231,0.107113,3.734297,-0.610474,0.133270,3.747633,-0.620773,0.136266,3.760909,-0.634308,0.129114,3.771801,-0.655532,0.118810,3.772970
38,1.583333,1,-0.225346,-0.382678,3.871946,-0.274014,-0.415558,3.841565,-0.225142,-0.463817,3.784302,-0.289366,-0.485110,3.787448,-0.297642,-0.470189,3.773926,-0.301344,-0.448079,3.772694,-0.295783,-0.415396,3.780940,1,-0.670788,0.002588,3.737347,-0.668421,0.070051,3.727398,-0.604118,0.107806,3.735114,-0.611052,0.133742,3.748672,-0.620894,0.136883,3.761722,-0.634280,0.129578,3.772558,-0.655331,0.119331,3.773966
39,1.625000,1,-0.230872,-0.398749,3.870620,-0.278144,-0.428273,3.835052,-0.234916,-0.484805,3.785889,-0.283638,-0.497679,3.779335,-0.290672,-0.482567,3.766717,-0.292709,-0.460996,3.765194,-0.286645,-0.428231,3.771784,1,-0.673038,0.003371,3.738040,-0.669562,0.070578,3.728278,-0.605487,0.108470,3.736061,-0.612198,0.134386,3.749734,-0.621777,0.137721,3.762584,-0.635153,0.130352,3.773488,-0.655820,0.119857,3.775197
40,1.666667,1,-0.237039,-0.414479,3.868891,-0.280935,-0.440674,3.827841,-0.239201,-0.501450,3.784912,-0.275768,-0.507054,3.772829,-0.280802,-0.491893,3.762657,-0.279588,-0.470702,3.761971,-0.273381,-0.438658,3.767391,1,-0.673752,0.003563,3.736913,-0.670854,0.071074,3.728862,-0.607190,0.109140,3.736889,-0.613635,0.135002,3.750852,-0.623125,0.138562,3.763524,-0.636716,0.131281,3.774521,-0.656892,0.120353,3.776352
41,1.708333,1,-0.242809,-0.427916,3.868695,-0.282681,-0.453816,3.821153,-0.237199,-0.514548,3.782719,-0.265349,-0.514430,3.769658,-0.268398,-0.499520,3.762919,-0.263975,-0.478425,3.763943,-0.259942,-0.448043,3.768727,1,-0.674795,0.004000,3.737993,-0.672186,0.071514,3.728972,-0.609215,0.109847,3.737366,-0.615193,0.135559,3.751840,-0.624743,0.139304,3.764365,-0.638752,0.132242,3.775400,-0.658492,0.120743,3.777154
42,1.750000,1,-0.248891,-0.440640,3.865919,-0.283786,-0.467699,3.815452,-0.230521,-0.526318,3.781148,-0.253949,-0.521165,3.768559,-0.255392,-0.506589,3.765019,-0.249008,-0.485327,3.767832,-0.249082,-0.457073,3.772417,1,-0.675839,0.004326,3.735871,-0.673635,0.071845,3.728476,-0.611457,0.110523,3.737066,-0.616787,0.136200,3.751952,-0.626476,0.140049,3.764367,-0.640976,0.133292,3.775382,-0.660469,0.121156,3.777035
43,1.791667,1,-0.255338,-0.456315,3.863474,-0.284484,-0.481913,3.810997,-0.222617,-0.538099,3.781512,-0.244140,-0.528923,3.768499,-0.244255,-0.514432,3.766989,-0.237499,-0.493022,3.770777,-0.241540,-0.466728,3.775222,1,-0.677617,0.004662,3.733416,-0.675187,0.072031,3.727511,-0.613714,0.111085,3.736016,-0.618326,0.137009,3.750879,-0.628106,0.140869,3.763206,-0.643035,0.134505,3.774103,-0.662566,0.121863,3.775692
44,1.833333,1,-0.262933,-0.469760,3.864476,-0.284933,-0.496187,3.808153,-0.216601,-0.550198,3.784777,-0.236794,-0.538876,3.770430,-0.235749,-0.523908,3.769683,-0.229825,-0.502623,3.773169,-0.236421,-0.477971,3.776863,1,-0.679512,0.004284,3.734542,-0.676671,0.072124,3.726460,-0.615862,0.111565,3.734835,-0.619720,0.137864,3.749254,-0.629505,0.141608,3.761526,-0.644731,0.135682,3.772175,-0.664538,0.122837,3.773664
45,1.875000,1,-0.267776,-0.481729,3.863863,-0.285454,-0.510288,3.806951,-0.213263,-0.562269,3.790681,-0.231651,-0.551083,3.774319,-0.229637,-0.534974,3.773645,-0.225114,-0.514038,3.775718,-0.232926,-0.490790,3.777828,1,-0.679367,0.004590,3.733577,-0.677972,0.072228,3.725554,-0.617829,0.112028,3.733912,-0.620948,0.138541,3.747742,-0.630730,0.142054,3.760043,-0.646094,0.136483,3.770427,-0.666186,0.123704,3.771825
46,1.916667,1,-0.273328,-0.491996,3.864632,-0.286532,-0.523752,3.806941,-0.212173,-0.573745,3.797363,-0.228965,-0.564485,3.778089,-0.226074,-0.546981,3.777666,-0.223032,-0.526300,3.778185,-0.231293,-0.504271,3.778314,1,-0.680740,0.004955,3.733875,-0.679096,0.072391,3.724808,-0.619507,0.112442,3.733157,-0.622011,0.138917,3.746506,-0.631835,0.142177,3.758937,-0.647176,0.136808,3.769186,-0.667353,0.124170,3.770636
47,1.958333,1,-0.278409,-0.502518,3.865068,-0.288255,-0.536198,3.807588,-0.212855,-0.584099,3.802903,-0.228730,-0.577743,3.780636,-0.225092,-0.559303,3.781306,-0.223720,-0.538298,3.781699,-0.232265,-0.517267,3.779933,1,-0.681827,0.005102,3.733767,-0.680024,0.072586,3.724235,-0.620820,0.112743,3.732444,-0.622827,0.139004,3.745570,-0.632693,0.142087,3.758168,-0.647926,0.136821,3.768436,-0.667968,0.124238,3.770089
48,2.000000,1,-0.282091,-0.511975,3.863624,-0.290207,-0.547478,3.808619,-0.214677,-0.592835,3.806604,-0.230183,-0.589606,3.783122,-0.226481,-0.571038,3.785863,-0.227651,-0.548923,3.788489,-0.236676,-0.528459,3.785056,1,-0.682374,0.005341,3.732455,-0.680691,0.072754,3.723889,-0.621741,0.112904,3.731889,-0.623319,0.138900,3.745035,-0.633195,0.141913,3.757759,-0.648360,0.136723,3.768139,-0.668160,0.124089,3.770012
49,2.041667,1,-0.284197,-0.517513,3.862566,-0.291960,-0.557461,3.809956,-0.217127,-0.599728,3.808736,-0.232709,-0.598598,3.787598,-0.230270,-0.580487,3.792821,-0.235122,-0.557194,3.798874,-0.244539,-0.536843,3.793719,1,-0.682732,0.005451,3.731912,-0.681106,0.072851,3.723818,-0.622292,0.112939,3.731718,-0.623552,0.138757,3.744918,-0.633428,0.141781,3.757699,-0.648642,0.136643,3.768233,-0.668200,0.123933,3.770243
50,2.083333,1,-0.287661,-0.524175,3.862998,-0.293385,-0.565867,3.811294,-0.219711,-0.604978,3.809652,-0.235832,-0.603977,3.794016,-0.235779,-0.586178,3.801462,-0.244619,-0.562794,3.809887,-0.253906,-0.542491,3.802777,1,-0.683189,0.005317,3.732771,-0.681351,0.072870,3.724005,-0.622559,0.112891,3.731918,-0.623611,0.138660,3.745049,-0.633492,0.141723,3.757847,-0.648838,0.136602,3.768561,-0.668218,0.123867,3.770629
