frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
220,9.125000,0,none,left,none,top,539.983,341.786,-0.087235,0.820854,1.000000,hand_floor_from_anchor_floor_candidates
221,9.166667,0,none,left,none,top,539.672,346.073,-0.052113,0.855934,1.000000,hand_floor_from_anchor_floor_candidates
222,9.208333,1,floor,,floor_support,top,536.734,347.458,-0.095442,0.885364,1.000000,hand_floor_from_anchor_floor_candidates
223,9.250000,0,none,left,none,top,529.711,346.165,-0.079358,0.895477,1.000000,hand_floor_from_anchor_floor_candidates
224,9.291667,0,none,left,none,top,520.406,340.706,-0.084789,0.941970,1.000000,hand_floor_from_anchor_floor_candidates
225,9.333333,0,none,left,none,top,507.766,329.527,-0.044843,0.937044,1.000000,hand_floor_from_anchor_floor_candidates
226,9.375000,0,none,left,none,bottom,528.919,345.840,-0.076205,0.941439,1.000000,hand_floor_from_anchor_floor_candidates
227,9.416667,0,none,left,none,bottom,511.769,327.207,-0.108750,0.956215,1.000000,hand_floor_from_anchor_floor_candidates
228,9.458333,0,none,left,none,bottom,496.115,300.484,-0.384487,0.895987,0.914562,hand_floor_from_anchor_floor_candidates
229,9.500000,0,none,left,none,bottom,484.622,271.043,-0.359410,0.825252,0.729183,hand_floor_from_anchor_floor_candidates
230,9.541667,0,none,left,none,bottom,480.059,234.259,-0.395588,0.684823,0.497980,hand_floor_from_anchor_floor_candidates
231,9.583333,0,none,left,none,bottom,478.742,202.142,-0.126971,0.556272,0.295819,hand_floor_from_anchor_floor_candidates
232,9.625000,0,none,left,none,bottom,478.061,175.021,-0.050622,0.450851,0.125282,hand_floor_from_anchor_floor_candidates
233,9.666667,0,none,left,none,bottom,480.798,150.468,0.103452,0.351902,0.000000,hand_floor_from_anchor_floor_candidates
234,9.708333,0,none,left,none,left,453.732,95.408,0.215896,0.195414,0.000000,hand_floor_from_anchor_floor_candidates
235,9.750000,0,none,left,none,left,458.012,78.630,0.091737,0.140559,0.000000,hand_floor_from_anchor_floor_candidates
236,9.791667,0,none,left,none,left,461.877,67.871,0.046244,0.128944,0.000000,hand_floor_from_anchor_floor_candidates
237,9.833333,0,none,left,none,left,465.244,61.245,0.091312,0.107380,0.000000,hand_floor_from_anchor_floor_candidates
238,9.875000,0,none,left,none,left,469.615,60.003,0.083017,0.105643,0.000000,hand_floor_from_anchor_floor_candidates
239,9.916667,0,none,left,none,left,474.293,62.815,0.039782,0.115785,0.000000,hand_floor_from_anchor_floor_candidates
240,9.958333,0,none,left,none,left,480.512,71.263,0.022155,0.140124,0.000000,hand_floor_from_anchor_floor_candidates
