frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
143,1,1,0,0,optimize,high_speed,0.432092,0.313743,0.300000,0.420000,0.340000,1,0,1,0,0.353325,0.000000
144,1,1,0,0,optimize,high_speed,0.428295,0.315760,0.300000,0.420000,0.340000,1,0,1,0,0.345788,0.000000
145,1,1,0,0,optimize,high_speed,0.514734,0.313795,0.300000,0.420000,0.340000,1,1,1,1,0.056987,0.000000
146,0,0,0,0,optimize,uniform_motion,0.036405,0.013451,0.180000,0.220000,0.220000,0,0,0,0,0.081464,0.000000
147,0,0,0,0,optimize,low_speed,0.024527,0.011344,0.100000,0.120000,0.120000,0,0,0,0,0.075705,0.000000
148,0,0,0,0,optimize,low_speed,0.018341,0.010589,0.100000,0.120000,0.120000,0,0,0,0,0.086389,0.000000
149,0,0,0,0,optimize,low_speed,0.017011,0.010106,0.100000,0.120000,0.120000,0,0,0,0,0.070546,0.000000
150,0,0,0,0,optimize,uniform_motion,0.034332,0.009485,0.180000,0.220000,0.220000,0,0,0,0,0.038381,0.000000
151,0,0,0,0,optimize,uniform_motion,0.052060,0.008720,0.180000,0.220000,0.220000,0,0,0,0,0.027254,0.000000
152,0,0,0,0,optimize,uniform_motion,0.032015,0.022950,0.180000,0.220000,0.220000,0,0,0,0,0.033852,0.000000
153,0,0,0,0,optimize,static_hold,0.006657,0.023814,0.100000,0.120000,0.120000,0,0,0,0,0.015935,0.000000
154,0,0,0,0,optimize,uniform_motion,0.032453,0.025803,0.180000,0.220000,0.220000,0,0,0,0,0.055363,0.000000
155,0,0,0,0,optimize,static_hold,0.003593,0.027034,0.100000,0.120000,0.120000,0,0,0,0,0.081470,0.000000
156,0,0,0,0,optimize,free_motion,0.105312,0.046368,0.180000,0.220000,0.220000,0,0,0,0,0.023758,0.000000
157,0,0,0,0,optimize,static_hold,0.001648,0.047982,0.100000,0.120000,0.120000,0,0,0,0,0.070270,0.000000
158,0,0,0,0,optimize,static_hold,0.002866,0.046704,0.100000,0.120000,0.120000,0,0,0,0,0.116312,0.000000
