frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
83,3.416667,-0.341229,0.220970,3.642945,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.438,449.081,47.278,502.438,449.081,48.376,497.457,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.082185,3.606063,3.542223,0.036881
84,3.458333,-0.353035,0.260772,3.686212,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.349,463.893,46.704,499.349,463.893,47.809,511.702,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.130208,3.621037,3.537438,0.065176
85,3.500000,-0.371952,0.343085,3.702292,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,492.456,496.093,47.806,492.456,496.093,47.601,543.694,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.201958,3.642444,3.532653,0.059849
86,3.541667,-0.365301,0.475194,3.738637,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.503,546.665,46.902,496.503,546.665,47.138,593.803,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.267344,3.675064,3.527868,0.063573
87,3.583333,-0.377360,0.640862,3.776549,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.254,609.215,45.560,493.254,609.215,46.665,655.880,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.296462,3.686438,3.523083,0.090110
88,3.625000,-0.374719,0.625931,3.764684,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.822,604.176,44.967,493.822,604.176,46.812,650.988,658.417,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.303466,3.689379,3.518298,0.075305
89,3.666667,-0.367169,0.492542,3.691561,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.930,555.947,48.395,493.930,555.947,47.739,603.686,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.289295,3.683689,3.508724,0.007871
90,3.708333,-0.361541,0.389688,3.657766,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.840,516.461,47.846,494.840,516.461,48.180,564.641,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.253998,3.661640,3.510291,-0.003874
91,3.750000,-0.354985,0.315807,3.648027,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,497.092,487.136,47.747,497.092,487.136,48.309,535.445,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.197660,3.637493,3.511857,0.010535
92,3.791667,-0.352928,0.260401,3.642437,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,497.702,464.992,48.546,497.702,464.992,48.383,513.375,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.138146,3.617464,3.513424,0.024973
93,3.833333,-0.349615,0.229303,3.643323,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.072,452.431,46.812,499.072,452.431,48.371,500.802,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.088362,3.605041,3.514991,0.038283
94,3.875000,-0.337736,0.206642,3.601308,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.272,444.268,47.409,502.272,444.268,48.936,493.204,658.417,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.066610,3.601308,3.516558,0.000000
