frame,time,object_x,object_y,object_z,surface_x,surface_y,surface_z,dist_cm,contact,contact_part,contact_region,vertex_index
165,6.833333,-0.333668,0.307190,3.891472,-0.262662,0.356929,3.888059,8.7,1,right_hand,right_palm,6459
166,6.875000,-0.347781,0.268244,3.898496,-0.240326,0.289085,3.876095,11.2,1,right_hand,right_palm,6425
167,6.916667,-0.359568,0.244741,3.905520,-0.237743,0.241602,3.892251,12.3,1,right_hand,right_palm,6370
168,6.958333,-0.368057,0.234656,3.912543,-0.243957,0.242851,3.896658,12.5,1,right_hand,right_palm,6370
169,7.000000,-0.381326,0.242166,3.919567,-0.249350,0.243762,3.901009,13.3,1,right_hand,right_palm,6370
170,7.041667,-0.388925,0.277511,3.926591,-0.262411,0.292750,3.885396,13.4,1,right_hand,right_palm,6425
171,7.083333,-0.394575,0.369386,3.933614,-0.313797,0.408699,3.924249,9.0,1,right_hand,right_pinky,6476
172,7.125000,-0.387134,0.513248,3.940638,-0.343548,0.518039,3.936507,4.4,1,right_hand,right_pinky,6504
173,7.166667,-0.367106,0.708961,3.947661,-0.360311,0.711072,3.943467,0.8,1,right_hand,right_pinky,8583
174,7.208333,-0.370224,0.715158,3.982003,-0.376223,0.720544,3.976967,1.0,1,right_hand,right_pinky,8627
175,7.250000,-0.366641,0.524556,3.969100,-0.337377,0.546302,3.959134,3.8,1,right_hand,right_pinky,6506
176,7.291667,-0.350640,0.430571,3.956196,-0.319403,0.436727,3.924509,4.5,1,right_hand,right_pinky,6487
177,7.333333,-0.332231,0.338624,3.943293,-0.292972,0.381684,3.895300,7.5,1,right_hand,right_palm,6475
178,7.375000,-0.315447,0.276688,3.930389,-0.242363,0.272651,3.892931,8.2,1,right_hand,right_palm,6415
179,7.416667,-0.295182,0.238811,3.917486,-0.235787,0.242758,3.893924,6.4,1,right_hand,right_palm,6370
180,7.458333,-0.274773,0.221767,3.904582,-0.227211,0.219483,3.912201,4.8,1,right_hand,right_palm,6371
181,7.500000,-0.254449,0.223879,3.891679,-0.226868,0.243035,3.888608,3.4,1,right_hand,right_palm,6370
182,7.541667,-0.227799,0.249052,3.878775,-0.226302,0.243232,3.883717,0.8,1,right_hand,right_palm,6370
183,7.583333,-0.199121,0.292255,3.865872,-0.222236,0.298862,3.889560,3.4,1,right_hand,right_palm,6426
184,7.625000,-0.173623,0.375125,3.852968,-0.154551,0.392715,3.847981,2.6,1,right_hand,right_palm,6449
185,7.666667,-0.153342,0.497894,3.840065,-0.197410,0.469599,3.877440,6.4,1,right_hand,right_pinky,6542
186,7.708333,-0.125512,0.683676,3.827162,-0.236469,0.557216,3.933269,19.9,0,right_hand,right_pinky,6547
187,7.750000,-0.135314,0.713377,3.972318,-0.287672,0.694295,4.003646,15.7,1,right_hand,right_pinky,8447
188,7.791667,-0.169466,0.564391,3.969309,-0.224563,0.545848,3.969854,5.8,1,right_hand,right_pinky,6496
189,7.833333,-0.192021,0.459872,3.966300,-0.210157,0.467295,3.958801,2.1,1,right_hand,right_pinky,6482
190,7.875000,-0.222145,0.386324,3.963292,-0.224840,0.391957,3.936258,2.8,1,right_hand,right_palm,6573
191,7.916667,-0.249675,0.327296,3.960283,-0.211306,0.293301,3.924820,6.2,1,right_hand,right_palm,6559
192,7.958333,-0.264175,0.291791,3.957274,-0.224463,0.265660,3.933848,5.3,1,right_hand,right_palm,6374
